"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21"
"L.2016.NAM-23.05.R",130.67379492218,0,0,1577.60195588622,0,0,0,0,0,0,0,0,0,0,0,3625.62801056612,1553.84057595691,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.06.R",0,0,181.485835881224,0,0,0,0,0,0,0,0,0,0,0,0,2713.30537121409,4612.91853663076,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.07.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.855608066103,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.854395980581,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.09.R",0,0,0,0,0,0,312.402780905421,0,0,0,0,0,0,0,0,155.406645770948,1145.98188547008,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.10.R",0,0,55.748973522025,0,0,0,0,0,0,0,0,0,0,0,0,0,167.246920566075,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-30.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.942333645193,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-30.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-30.03.R",0,0,456.855690708697,2873.76966736116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-30.04.R",0,0,0,1004.7390190398,0,0,0,0,0,669.826012693203,0,0,0,0,0,0,1339.65202538641,0,0,0,0,0,0,0,0,0,0
